pet_id,issue_date,listing_date,condition,color_type,X1,X2,log_days_btw_issue_list,listing_year,issue_year,listing_month,issue_month,length(cm),height(cm),size,breed_category,pet_category
ANSL_54000,2018-01-14 00:00:00,2018-02-11 14:49:00,-1.0,White,13,9,3.33,2018,2018,2,1,3.0,21.9,65.69999999999999,2.0,1
ANSL_66035,2017-08-26 00:00:00,2018-11-15 15:15:00,1.0,Black,13,9,6.1,2018,2017,11,8,91.0,30.24,2751.8399999999997,0.0,2
ANSL_50166,2018-07-06 00:00:00,2018-09-30 18:44:00,0.0,Torbie,0,1,4.45,2018,2018,9,7,73.0,15.86,1157.78,1.0,1
ANSL_50330,2017-07-27 00:00:00,2018-02-18 10:19:00,-1.0,Brown,0,6,5.33,2018,2017,2,7,73.0,8.22,600.0600000000001,2.0,4
ANSL_66446,2010-03-14 00:00:00,2017-04-10 14:17:00,1.0,Orange Tabby,0,7,7.86,2017,2010,4,3,90.0,12.88,1159.2,0.0,1
ANSL_51682,2017-06-08 00:00:00,2018-07-30 18:36:00,1.0,Tricolor,0,7,6.03,2018,2017,7,6,88.0,41.37,3640.56,0.0,2
ANSL_56697,2014-10-31 00:00:00,2016-11-21 15:26:00,2.0,Brown,13,9,6.62,2016,2014,11,10,65.0,18.14,1179.1000000000001,1.0,4
ANSL_60819,2015-10-23 00:00:00,2017-12-26 11:11:00,0.0,Black,7,1,6.68,2017,2015,12,10,79.0,10.9,861.1,1.0,1
ANSL_58673,2017-12-29 00:00:00,2018-03-08 11:04:00,-1.0,Black,9,2,4.23,2018,2017,3,12,8.0,30.4,243.2,2.0,1
ANSL_62458,2018-04-17 00:00:00,2018-12-14 17:42:00,0.0,Blue,0,1,5.48,2018,2018,12,4,5.0,44.1,220.5,1.0,1
ANSL_64552,2016-10-23 00:00:00,2017-11-14 09:00:00,0.0,Orange Tabby,16,9,5.96,2017,2016,11,10,52.0,13.25,689.0,1.0,1
ANSL_75413,2018-11-29 00:00:00,2019-04-08 17:09:00,1.0,Black,0,1,4.87,2019,2018,4,11,62.0,32.76,2031.12,0.0,2
ANSL_76141,2018-03-29 00:00:00,2019-04-26 11:49:00,1.0,White,0,8,5.97,2019,2018,4,3,42.0,10.38,435.96000000000004,0.0,2
ANSL_60574,2015-01-20 00:00:00,2018-04-09 09:30:00,1.0,Black,13,9,7.07,2018,2015,4,1,53.0,42.92,2274.76,0.0,1
ANSL_55045,2015-03-06 00:00:00,2017-03-28 19:02:00,0.0,Black,16,9,6.62,2017,2015,3,3,7.000000000000001,7.09,49.63,1.0,1
ANSL_66680,2016-08-24 00:00:00,2017-09-24 14:28:00,0.0,Blue,0,1,5.98,2017,2016,9,8,41.0,35.07,1437.8700000000001,1.0,2
ANSL_55030,2008-03-20 00:00:00,2017-07-23 17:26:00,2.0,Sable,0,7,8.14,2017,2008,7,3,54.0,17.01,918.5400000000001,0.0,2
ANSL_75554,2017-03-04 00:00:00,2019-04-12 13:06:00,0.0,White,13,9,6.65,2019,2017,4,3,19.0,30.01,570.19,1.0,2
ANSL_62016,2016-12-15 00:00:00,2019-01-07 21:55:00,-1.0,Brown Tabby,18,4,6.62,2019,2016,1,12,44.0,49.68,2185.92,2.0,1
ANSL_69645,2015-01-28 00:00:00,2018-02-28 18:24:00,0.0,Tan,0,7,7.03,2018,2015,2,1,67.0,15.38,1030.46,1.0,2
ANSL_52823,2014-03-13 00:00:00,2017-12-31 14:42:00,1.0,Tan,0,7,7.24,2017,2014,12,3,70.0,12.53,877.0999999999999,0.0,2
ANSL_76493,2017-04-07 00:00:00,2019-05-03 21:07:00,1.0,Brown,0,1,6.63,2019,2017,5,4,80.0,29.12,2329.6,0.0,2
ANSL_52483,2016-07-16 00:00:00,2016-10-15 15:50:00,2.0,Brown Tabby,18,4,4.51,2016,2016,10,7,33.0,46.54,1535.82,0.0,1
ANSL_56705,2016-10-29 00:00:00,2017-11-24 17:35:00,0.0,Tan,0,1,5.97,2017,2016,11,10,9.0,20.71,186.39000000000001,1.0,2
ANSL_71550,2016-08-03 00:00:00,2016-10-29 19:51:00,1.0,White,7,1,4.47,2016,2016,10,8,62.0,35.64,2209.68,0.0,1
ANSL_74451,2016-06-21 00:00:00,2018-06-12 11:35:00,1.0,Black,0,7,6.58,2018,2016,6,6,83.0,17.96,1490.68,0.0,1
ANSL_54362,2016-12-09 00:00:00,2017-11-03 17:36:00,0.0,Black,0,1,5.8,2017,2016,11,12,4.0,43.27,173.08,1.0,2
ANSL_55262,2016-07-03 00:00:00,2017-07-28 18:59:00,1.0,Orange Tabby,16,9,5.97,2017,2016,7,7,38.0,32.15,1221.7,0.0,1
ANSL_52281,2016-04-08 00:00:00,2018-05-09 14:57:00,0.0,Blue,0,1,6.63,2018,2016,5,4,10.0,44.25,442.5,1.0,2
ANSL_50293,2016-11-18 00:00:00,2017-02-21 15:23:00,2.0,Brown Tabby,9,2,4.55,2017,2016,2,11,73.0,35.42,2585.6600000000003,0.0,1
ANSL_63670,2010-09-15 00:00:00,2019-03-31 18:39:00,0.0,Brown Tabby,0,1,8.05,2019,2010,3,9,31.0,49.06,1520.8600000000001,1.0,1
ANSL_54345,2014-01-03 00:00:00,2019-01-27 14:54:00,0.0,Tricolor,0,7,7.52,2019,2014,1,1,30.0,23.88,716.4,1.0,2
ANSL_54467,2016-01-07 00:00:00,2018-01-29 07:48:00,-1.0,Red,15,4,6.62,2018,2016,1,1,49.0,39.78,1949.22,2.0,4
ANSL_63117,2015-02-07 00:00:00,2018-02-28 16:16:00,1.0,Black,0,7,7.02,2018,2015,2,2,24.0,40.52,972.48,0.0,1
ANSL_75526,2016-03-18 00:00:00,2019-04-11 15:06:00,2.0,Black,0,3,7.02,2019,2016,4,3,79.0,39.36,3109.44,0.0,1
ANSL_58969,2016-11-20 00:00:00,2016-12-16 16:40:00,-1.0,Brown Tabby,13,9,3.26,2016,2016,12,11,17.0,32.6,554.2,2.0,1
ANSL_61988,2010-05-05 00:00:00,2018-05-25 14:28:00,2.0,Buff,18,4,7.99,2018,2010,5,5,27.0,32.8,885.5999999999999,0.0,1
ANSL_69265,2016-02-02 00:00:00,2018-03-17 14:27:00,1.0,Blue Tick,0,1,6.65,2018,2016,3,2,57.99999999999999,39.96,2317.68,0.0,2
ANSL_76161,2011-04-05 00:00:00,2019-04-27 11:40:00,0.0,Black,0,7,7.99,2019,2011,4,4,18.0,48.06,865.08,1.0,2
ANSL_72371,2017-07-12 00:00:00,2018-08-05 17:08:00,0.0,White,0,1,5.96,2018,2017,8,7,1.0,30.99,30.99,1.0,2
ANSL_62897,2015-09-22 00:00:00,2018-09-07 12:08:00,0.0,Brown,7,1,6.99,2018,2015,9,9,56.00000000000001,16.55,926.8000000000002,1.0,2
ANSL_60626,2018-08-19 00:00:00,2018-11-17 16:12:00,0.0,Orange Tabby,0,1,4.5,2018,2018,11,8,46.0,27.83,1280.1799999999998,1.0,1
ANSL_55226,2014-09-23 00:00:00,2017-11-04 17:07:00,1.0,Brown,0,1,7.04,2017,2014,11,9,45.0,35.75,1608.75,0.0,2
ANSL_75066,2018-03-01 00:00:00,2018-09-20 10:42:00,-1.0,Red,12,1,5.31,2018,2018,9,3,15.0,36.73,550.9499999999999,2.0,4
ANSL_58763,2016-11-29 00:00:00,2018-12-24 17:41:00,2.0,Tricolor,13,9,6.63,2018,2016,12,11,64.0,35.69,2284.16,1.0,2
ANSL_63362,2016-03-19 00:00:00,2018-04-26 17:13:00,1.0,Orange Tabby,0,1,6.64,2018,2016,4,3,30.0,29.19,875.7,0.0,1
ANSL_60528,2014-10-27 00:00:00,2017-11-18 09:00:00,1.0,Orange Tabby,16,9,7.02,2017,2014,11,10,32.0,40.57,1298.24,0.0,1
ANSL_66119,2015-03-02 00:00:00,2018-04-05 13:45:00,1.0,Black,0,7,7.03,2018,2015,4,3,10.0,7.12,71.2,0.0,2
ANSL_73664,2017-10-04 00:00:00,2018-12-02 08:09:00,1.0,Black,7,1,6.05,2018,2017,12,10,0.0,32.98,0.0,0.0,2
ANSL_58286,2015-10-01 00:00:00,2018-11-11 16:03:00,0.0,Blue,0,1,7.04,2018,2015,11,10,1.0,43.68,43.68,1.0,1
ANSL_54029,2016-07-29 00:00:00,2018-09-20 19:05:00,0.0,Torbie,0,1,6.66,2018,2016,9,7,89.0,12.65,1125.8500000000001,1.0,1
ANSL_73990,2016-07-02 00:00:00,2016-11-28 18:54:00,1.0,White,0,1,5.0,2016,2016,11,7,46.0,19.38,891.4799999999999,0.0,1
ANSL_54886,2018-01-30 00:00:00,2019-03-06 12:20:00,0.0,Brown Tabby,0,1,5.99,2019,2018,3,1,91.0,45.39,4130.49,1.0,1
ANSL_75713,2018-03-22 00:00:00,2019-04-16 12:42:00,2.0,Brown Tabby,17,9,5.97,2019,2018,4,3,43.0,49.54,2130.22,1.0,1
ANSL_61116,2016-11-10 00:00:00,2017-02-18 18:57:00,0.0,Brown Tabby,0,1,4.61,2017,2016,2,11,67.0,42.6,2854.2000000000003,1.0,1
ANSL_60330,2017-09-05 00:00:00,2017-12-11 20:10:00,1.0,Black,0,1,4.57,2017,2017,12,9,93.0,20.02,1861.86,0.0,2
ANSL_72100,2017-06-09 00:00:00,2018-07-03 14:53:00,0.0,Tan,0,7,5.96,2018,2017,7,6,0.0,22.2,0.0,1.0,2
ANSL_66412,2017-01-27 00:00:00,2019-03-03 11:54:00,0.0,Orange,0,1,6.64,2019,2017,3,1,41.0,6.47,265.27,1.0,1
ANSL_70858,2017-07-30 00:00:00,2018-08-24 16:59:00,1.0,Black,17,9,5.97,2018,2017,8,7,2.0,36.19,72.38,0.0,1
ANSL_73513,2016-11-24 00:00:00,2017-02-25 18:47:00,0.0,Torbie,0,1,4.53,2017,2016,2,11,44.0,25.45,1119.8,1.0,1
ANSL_70120,2014-06-24 00:00:00,2018-01-19 18:19:00,1.0,Tan,0,7,7.17,2018,2014,1,6,21.0,31.52,661.92,0.0,2
ANSL_71504,2016-07-04 00:00:00,2016-11-25 18:46:00,0.0,Blue Tabby,0,1,4.97,2016,2016,11,7,11.0,42.76,470.35999999999996,1.0,1
ANSL_71993,2012-07-21 00:00:00,2017-08-05 17:34:00,0.0,Chocolate,0,7,7.52,2017,2012,8,7,84.0,22.98,1930.32,1.0,2
ANSL_69762,2013-12-27 00:00:00,2018-10-05 15:59:00,0.0,Black,0,1,7.46,2018,2013,10,12,9.0,8.86,79.74,1.0,1
ANSL_59393,2018-07-19 00:00:00,2018-12-23 19:15:00,1.0,Orange Tabby,0,1,5.06,2018,2018,12,7,6.0,15.46,92.76,0.0,1
ANSL_76646,2018-09-24 00:00:00,2019-05-08 13:05:00,2.0,White,0,7,5.42,2019,2018,5,9,61.0,25.47,1553.6699999999998,0.0,2
ANSL_66359,2015-01-16 00:00:00,2017-02-07 09:16:00,2.0,Orange Tabby,18,4,6.62,2017,2015,2,1,81.0,42.33,3428.73,0.0,1
ANSL_67558,2010-10-02 00:00:00,2018-10-22 13:25:00,1.0,Chocolate,0,7,7.99,2018,2010,10,10,14.000000000000002,45.05,630.7,0.0,2
ANSL_52564,2009-06-01 00:00:00,2017-06-26 17:07:00,2.0,Black,13,9,7.99,2017,2009,6,6,5.0,31.45,157.25,1.0,1
ANSL_63471,2007-02-19 00:00:00,2017-03-10 18:29:00,2.0,Brown Tabby,9,2,8.21,2017,2007,3,2,82.0,17.62,1444.8400000000001,1.0,1
ANSL_50012,2016-09-04 00:00:00,2017-01-23 18:20:00,1.0,Black,0,1,4.95,2017,2016,1,9,81.0,29.03,2351.4300000000003,0.0,1
ANSL_54755,2015-04-12 00:00:00,2018-09-07 16:46:00,0.0,White,0,1,7.13,2018,2015,9,4,76.0,46.05,3499.7999999999997,1.0,2
ANSL_69874,2016-09-16 00:00:00,2018-10-11 15:57:00,1.0,Black,0,1,6.63,2018,2016,10,9,92.0,11.19,1029.48,0.0,1
ANSL_52815,2016-11-17 00:00:00,2016-12-10 19:24:00,-1.0,Calico,13,9,3.14,2016,2016,12,11,99.0,44.23,4378.7699999999995,2.0,1
ANSL_63690,2016-09-18 00:00:00,2018-10-10 09:16:00,-1.0,Red,15,4,6.62,2018,2016,10,9,16.0,8.42,134.72,2.0,4
ANSL_74184,2017-09-17 00:00:00,2017-10-31 12:24:00,2.0,Black Tabby,13,9,3.78,2017,2017,10,9,33.0,33.54,1106.82,0.0,1
ANSL_68874,2016-11-16 00:00:00,2017-04-02 13:44:00,2.0,Black,13,9,4.92,2017,2016,4,11,95.0,44.05,4184.75,1.0,1
ANSL_64736,2014-08-13 00:00:00,2017-09-03 18:54:00,2.0,Red,15,4,7.02,2017,2014,9,8,17.0,33.19,564.23,1.0,4
ANSL_60337,2016-09-13 00:00:00,2016-12-17 14:57:00,1.0,Tan,13,9,4.55,2016,2016,12,9,14.000000000000002,17.85,249.90000000000006,0.0,2
ANSL_65602,2017-10-11 00:00:00,2018-01-04 17:17:00,2.0,Brown Tabby,0,1,4.44,2018,2017,1,10,37.0,17.3,640.1,0.0,1
ANSL_66640,2016-09-06 00:00:00,2016-12-16 17:30:00,1.0,Black Brindle,0,1,4.62,2016,2016,12,9,41.0,24.66,1011.0600000000001,0.0,2
ANSL_55016,2016-04-04 00:00:00,2017-04-28 18:45:00,1.0,Cream Tabby,0,1,5.96,2017,2016,4,4,52.0,6.25,325.0,0.0,1
ANSL_74939,2016-03-24 00:00:00,2017-11-13 16:00:00,1.0,White,0,7,6.4,2017,2016,11,3,91.0,24.31,2212.21,0.0,2
ANSL_54794,2017-09-06 00:00:00,2017-12-04 12:30:00,0.0,Blue Tabby,0,1,4.49,2017,2017,12,9,69.0,42.55,2935.95,1.0,1
ANSL_66067,2011-12-03 00:00:00,2016-12-23 16:42:00,0.0,Black,0,7,7.52,2016,2011,12,12,4.0,5.4,21.6,1.0,2
ANSL_67472,2016-07-10 00:00:00,2016-10-06 18:40:00,1.0,Orange Tabby,0,1,4.48,2016,2016,10,7,3.0,8.12,24.36,0.0,1
ANSL_61924,2017-11-17 00:00:00,2018-06-19 14:48:00,0.0,Tan,0,1,5.37,2018,2017,6,11,18.0,26.67,480.06000000000006,1.0,2
ANSL_57027,2018-11-07 00:00:00,2019-02-09 17:06:00,0.0,Torbie,0,1,4.54,2019,2018,2,11,4.0,13.85,55.4,1.0,1
ANSL_63245,2014-03-23 00:00:00,2018-04-13 15:38:00,1.0,Black,0,7,7.3,2018,2014,4,3,8.0,29.65,237.2,0.0,2
ANSL_67439,2018-06-23 00:00:00,2019-01-16 15:20:00,2.0,White,13,9,5.33,2019,2018,1,6,20.0,32.09,641.8000000000001,0.0,2
ANSL_61569,2015-10-22 00:00:00,2017-05-21 12:01:00,2.0,Black,0,7,6.36,2017,2015,5,10,15.0,31.43,471.45,0.0,2
ANSL_66720,2017-10-26 00:00:00,2018-12-14 19:15:00,1.0,Brown Brindle,0,1,6.03,2018,2017,12,10,63.0,22.83,1438.29,0.0,2
ANSL_69437,2017-07-16 00:00:00,2018-01-09 13:02:00,1.0,Blue,7,1,5.18,2018,2017,1,7,90.0,24.96,2246.4,0.0,1
ANSL_65204,2016-07-21 00:00:00,2016-09-17 13:31:00,2.0,Black,13,9,4.06,2016,2016,9,7,81.0,43.14,3494.34,0.0,1
ANSL_60534,2017-07-13 00:00:00,2018-03-05 15:44:00,0.0,Gold,0,1,5.46,2018,2017,3,7,36.0,15.45,556.1999999999999,1.0,2
ANSL_71253,2016-12-19 00:00:00,2018-06-12 12:21:00,0.0,Brown Tabby,13,9,6.29,2018,2016,6,12,49.0,7.78,381.22,1.0,1
ANSL_61331,2018-06-07 00:00:00,2018-07-28 14:40:00,2.0,Black,13,9,3.93,2018,2018,7,6,27.0,12.54,338.58,0.0,1
ANSL_59868,2016-02-04 00:00:00,2018-04-29 16:38:00,-1.0,Brown,0,3,6.7,2018,2016,4,2,97.0,46.19,4480.429999999999,2.0,4
ANSL_64532,2017-06-30 00:00:00,2017-10-11 00:00:00,2.0,Calico Point,9,5,4.63,2017,2017,10,6,53.0,20.28,1074.8400000000001,1.0,1
ANSL_59797,2011-12-28 00:00:00,2019-01-18 09:36:00,1.0,White,0,7,7.85,2019,2011,1,12,40.0,47.42,1896.8000000000002,0.0,2
ANSL_50355,2014-05-21 00:00:00,2017-06-11 18:13:00,1.0,Blue Merle,0,7,7.02,2017,2014,6,5,4.0,45.23,180.92,0.0,2
ANSL_61861,2006-03-04 00:00:00,2019-04-01 11:36:00,0.0,Brown Tabby,0,7,8.47,2019,2006,4,3,77.0,27.39,2109.03,1.0,1
ANSL_75174,2018-06-20 00:00:00,2018-10-16 11:00:00,0.0,Blue,13,9,4.77,2018,2018,10,6,19.0,26.1,495.90000000000003,1.0,1
ANSL_65618,2012-11-29 00:00:00,2018-03-04 00:00:00,1.0,Blue Merle,0,7,7.56,2018,2012,3,11,50.0,12.22,611.0,0.0,2
ANSL_71574,2016-04-09 00:00:00,2018-06-01 18:36:00,0.0,Brown Brindle,0,1,6.66,2018,2016,6,4,90.0,48.26,4343.4,1.0,2
ANSL_61677,2018-06-26 00:00:00,2018-10-29 18:00:00,1.0,Blue Tabby,7,1,4.83,2018,2018,10,6,30.0,31.37,941.1,0.0,1
ANSL_60315,2017-07-13 00:00:00,2018-09-24 18:40:00,0.0,Blue Tabby,0,1,6.08,2018,2017,9,7,91.0,27.96,2544.36,1.0,1
ANSL_58968,2016-08-22 00:00:00,2016-11-22 15:31:00,0.0,Tortie,0,1,4.52,2016,2016,11,8,100.0,27.77,2777.0,1.0,1
ANSL_75417,2019-01-23 00:00:00,2019-04-08 18:26:00,1.0,Tan,7,1,4.32,2019,2019,4,1,53.0,22.5,1192.5,0.0,2
ANSL_67786,2012-06-25 00:00:00,2016-07-23 11:55:00,0.0,White,13,9,7.31,2016,2012,7,6,49.0,18.86,924.14,1.0,2
ANSL_64363,2016-11-22 00:00:00,2018-12-12 00:00:00,2.0,Black,2,4,6.62,2018,2016,12,11,48.0,12.48,599.04,0.0,1
ANSL_69159,2011-11-11 00:00:00,2016-12-04 17:59:00,0.0,White,0,7,7.52,2016,2011,12,11,73.0,9.2,671.5999999999999,1.0,2
ANSL_64748,2016-09-18 00:00:00,2017-10-09 17:26:00,0.0,White,0,7,5.96,2017,2016,10,9,21.0,47.6,999.6,1.0,2
ANSL_59733,2017-09-06 00:00:00,2018-10-01 15:51:00,2.0,Black,13,9,5.97,2018,2017,10,9,91.0,41.92,3814.7200000000003,1.0,2
ANSL_66903,2013-07-31 00:00:00,2016-08-22 11:04:00,0.0,Black,0,7,7.02,2016,2013,8,7,69.0,41.93,2893.17,1.0,2
ANSL_70167,2016-02-17 00:00:00,2017-07-07 18:08:00,0.0,Orange Tabby,7,1,6.23,2017,2016,7,2,6.0,33.95,203.70000000000002,1.0,1
ANSL_60808,2016-10-04 00:00:00,2017-01-27 12:38:00,1.0,Brown Tabby,0,1,4.74,2017,2016,1,10,37.0,26.27,971.99,0.0,1
ANSL_50064,2018-01-05 00:00:00,2019-01-27 16:02:00,1.0,Orange Tabby,0,7,5.96,2019,2018,1,1,47.0,7.59,356.73,0.0,1
ANSL_73811,2016-10-24 00:00:00,2017-02-07 14:33:00,1.0,Brown Tabby,0,1,4.66,2017,2016,2,10,88.0,44.54,3919.52,0.0,1
ANSL_71122,2016-01-11 00:00:00,2018-02-13 19:04:00,1.0,Black,0,7,6.64,2018,2016,2,1,9.0,29.71,267.39,0.0,2
ANSL_57006,2016-02-03 00:00:00,2018-03-29 11:37:00,1.0,Tan,0,1,6.67,2018,2016,3,2,87.0,20.66,1797.42,0.0,2
ANSL_59199,2018-01-12 00:00:00,2018-06-01 17:20:00,1.0,Orange Tabby,7,1,4.94,2018,2018,6,1,66.0,23.94,1580.0400000000002,0.0,1
ANSL_58890,2014-09-29 00:00:00,2018-10-20 16:14:00,1.0,White,0,7,7.3,2018,2014,10,9,64.0,41.35,2646.4,0.0,2
ANSL_57463,2011-11-23 00:00:00,2016-12-17 13:14:00,2.0,Tricolor,13,9,7.52,2016,2011,12,11,51.0,13.5,688.5,1.0,2
ANSL_63374,2014-08-23 00:00:00,2016-10-12 10:22:00,2.0,Red Merle,13,9,6.66,2016,2014,10,8,29.0,6.67,193.43,0.0,2
ANSL_60951,2006-06-07 00:00:00,2018-07-09 09:53:00,0.0,Black,0,7,8.39,2018,2006,7,6,4.0,9.82,39.28,1.0,2
ANSL_63454,2017-11-02 00:00:00,2018-01-17 10:44:00,2.0,Black Tabby,7,1,4.33,2018,2017,1,11,16.0,8.04,128.64,0.0,1
ANSL_73065,2017-09-10 00:00:00,2017-12-08 16:06:00,2.0,Brown Tabby,0,1,4.49,2017,2017,12,9,61.0,39.88,2432.6800000000003,1.0,1
ANSL_72681,2007-09-26 00:00:00,2016-10-17 10:07:00,2.0,Brown,18,4,8.1,2016,2007,10,9,66.0,18.9,1247.3999999999999,1.0,2
ANSL_60874,2017-07-09 00:00:00,2017-11-20 12:53:00,0.0,Orange Tabby,0,1,4.9,2017,2017,11,7,15.0,36.78,551.7,1.0,1
ANSL_51360,2016-02-18 00:00:00,2017-03-19 15:23:00,1.0,Black,0,1,5.98,2017,2016,3,2,19.0,25.17,478.23,0.0,2
ANSL_50693,2017-08-04 00:00:00,2017-11-04 12:03:00,-1.0,Black,0,4,4.52,2017,2017,11,8,73.0,29.2,2131.6,2.0,4
ANSL_59052,2016-01-30 00:00:00,2016-09-08 15:33:00,2.0,White,13,9,5.4,2016,2016,9,1,49.0,5.36,262.64000000000004,1.0,2
ANSL_51733,2018-08-13 00:00:00,2018-12-09 19:01:00,1.0,Blue,0,1,4.77,2018,2018,12,8,33.0,17.73,585.09,0.0,1
ANSL_51044,2012-04-14 00:00:00,2017-05-23 15:26:00,1.0,Black,0,1,7.53,2017,2012,5,4,73.0,35.55,2595.1499999999996,0.0,1
ANSL_52522,2016-07-07 00:00:00,2016-08-24 18:49:00,-1.0,Orange Tabby,13,9,3.87,2016,2016,8,7,87.0,16.35,1422.45,2.0,1
